Ethylpropionate;6-Methyl-5-hepten-2-on;Benzaldehyde;1-Hexanol;Isopentylacetate;Geranylacetat;1-pentanol;Ethyl-3-hydroxybutyrate;Butanal;Furfural;Methylbutyrate;Hexylacetat;1-Propanol;Methylbenzoat;Methylhexanoate;E2-Hexenal;Propionaldehyde;Z3-Hexenol;(-) Ethyl L lactate;Valeraldehyde;3-Methylthiol-1-Propanol;Linalool oxide;E2 Hexenylacetate;Isobutylacetat;2-pentanone;Butylacetate;cis-2-Hexen-1-ol;E2 Hexenol;Acrolein;Propylacetate;Phenylethylacetat;Hexanal;Pentylacetat;2-Heptanone;Butyric acid;Linalool;Ethylbenzoate;Methanol;Linoleic acid;23-butanediole;3-Methyl-2-buten-1-ol;Nerol;Aceton;Diethylsuccinate;2-3 Butanedione;Ethylhexanoate;Acetaldehyde;Phenylacetaldehyd;beta-Citrollenol;4-Ethylguaiacol;Glycerol ;Isopentanoic acid;Ethylformate;Cadaverine;14-Diaminobutane;1-Octen-3-ol;b-Pinene;(-)-trans-Caryophyllene;Limonene;Methanoic acid;Alpha Terpineol;Acetic acid;Ethyl-Decanoate;beta-Myrcene;Butyrolacton;Methylsalicylat;Hexanoic acid;Pentanoic acid;1-Penten-3-ol;Ethylhexanoic acid;Hexyl hexanoate;Lactic acid;Geraniol;2-Butanone;Ethylacetate;Heptanoic acid;Ammonium hydroxide;Ethyl octanoate;E3 Hexanol;Propionic acid;Phenylethyl alcohol;Pyruvic acid ;1-Butanol;Octanoic acid;Dimethyl sulfide;(1S)-(+)-3-carene;p-Cymene;Methyloctanoate;Gammaoctalacton;2-Pentanol;Hexylbutyrate;gamma-Hexalactone;Eugenol;3-Methylbutanol;Methylacetat;Ethyl cinnamate;Ethylbutyrate;Terpinolen;Acetophenone
21;46;5;40;65;2;35;53;43;11;25;29;33;1;39;17;18;29;39;22;8;30;22;31;30;51;34;35;14;31;11;19;35;39;11;17;1;10;-7;3;36;8;1;16;6;22;21;10;3;-1;2;4;3;1;6;27;3;2;3;-2;2;5;5;2;9;5;8;7;34;3;1;2;-1;8;-3;3;3;1;45;1;2;3;45;-2;0;-1;-2;1;7;38;4;15;4;30;5;-4;12;-6;-3
85;-24;200;96;-33;1;166;-27;54;176;-1;-19;180;-27;40;221;-16;150;31;171;29;-14;204;38;2;-19;151;180;31;-4;-13;177;-4;-2;42;31;-20;22;136;13;196;10;-10;-11;-15;-13;165;43;21;-10;-2;-4;108;-41;-36;9;-11;4;4;-14;5;-11;-12;9;34;-6;3;22;124;1;-4;-2;1;9;6;-6;-21;-7;154;5;3;55;195;-7;-8;4;-1;-7;-22;78;-4;-39;-10;157;-6;-6;1;6;10
58;58;57;102;139;-5;160;204;6;93;143;44;52;43;53;38;6;154;75;24;96;79;30;172;130;151;88;110;3;161;18;34;85;106;138;6;29;25;3;60;59;2;29;21;247;20;95;14;6;14;8;23;24;21;26;54;-6;3;3;14;7;9;2;-1;53;13;22;19;209;4;-3;6;-1;94;37;3;32;2;198;20;17;22;103;-2;19;1;-2;4;26;227;2;118;10;97;24;-2;121;-1;62
38;8;123;10;208;-8;11;68;-2;34;43;-19;-4;265;17;-8;-1;-5;31;6;5;1;-4;212;19;128;-15;-8;-7;67;-12;28;-1;17;33;-14;268;5;4;22;-5;-12;0;-13;-5;-14;25;64;-10;2;-8;24;3;-17;-26;-6;-12;-6;-5;31;-10;18;43;-9;-6;258;19;22;-7;5;-1;34;-6;7;6;-1;10;-14;13;36;-16;23;-5;-1;-16;-12;-8;-13;18;17;-1;18;64;-6;9;-7;29;-7;254
-13;69;-15;146;81;9;84;30;-38;-22;-6;50;10;-12;36;58;-52;84;24;-20;-9;91;37;48;-1;31;85;79;-12;-1;7;-29;130;131;10;125;-6;-16;-30;35;58;22;-25;24;-19;42;19;-30;18;-10;-21;21;-17;-5;-9;149;40;21;92;0;85;3;-17;21;-7;1;30;30;64;-22;-25;-4;2;-16;7;-19;1;-8;74;5;14;-1;49;-26;-27;123;20;0;2;74;6;-2;-16;78;-13;-21;73;51;5
188;85;32;63;232;1;179;138;53;29;220;172;58;43;256;49;36;81;70;69;38;25;194;251;148;212;111;87;32;198;40;139;158;111;117;52;49;55;3;48;101;37;38;205;50;224;71;44;25;7;4;41;13;13;12;121;10;8;34;33;63;32;6;19;43;-2;117;45;58;19;31;36;28;84;53;12;13;95;82;37;46;35;120;0;13;11;18;237;41;113;39;140;7;104;54;12;193;19;32
-5;28;-5;51;21;4;73;34;-6;18;2;2;5;-6;9;45;-5;36;11;-5;-2;8;4;9;13;29;55;41;-6;12;-4;13;20;25;-3;3;-6;-3;5;15;25;-3;-7;26;-4;13;11;1;-6;-9;-7;-4;-5;-7;-2;19;-4;-5;-4;-8;-4;-1;-1;-4;4;-1;3;2;29;-2;-4;-3;-6;3;2;-2;-2;-4;40;-3;-2;-1;41;2;-4;-5;-6;-3;3;41;1;12;1;33;2;-1;15;-3;-6
81;-11;-5;1;6;0;42;0;0;28;19;11;27;-12;-16;-8;3;30;2;3;-7;17;13;15;10;12;21;21;6;13;0;-10;-12;0;-11;29;-3;35;-11;11;41;13;-10;-8;36;0;11;7;8;-3;15;-10;0;-7;-4;-17;10;14;8;-6;10;-2;1;4;7;-7;22;-11;44;-15;1;-3;15;7;10;-4;-9;-4;29;-9;29;-12;39;-13;-6;5;3;3;10;45;4;25;-6;33;15;3;37;10;-16
1;-12;83;237;22;-3;188;87;65;176;102;206;55;-14;-10;227;-6;204;5;82;188;-5;227;26;112;63;202;223;-9;102;-13;185;191;119;12;26;-16;38;38;13;176;10;8;-20;4;-21;4;-17;11;-3;-4;5;-11;12;0;141;3;14;51;5;18;-1;-10;0;81;2;7;36;37;-8;126;9;9;13;18;11;4;-12;213;2;120;5;199;-4;-2;-4;9;10;36;162;225;171;-7;222;-6;-10;121;7;10
1;7;36;133;17;-10;77;35;-11;-17;10;-3;-13;-3;3;41;-31;98;7;-13;4;18;-17;25;12;20;76;32;-7;12;-12;-4;12;42;-7;-6;-26;-2;-14;11;30;-7;-16;-8;-11;6;4;-6;-13;-5;-18;-12;-14;-10;-17;100;10;-25;-6;-9;1;0;-8;-5;-12;20;5;-5;58;-25;-14;1;-16;-8;8;-11;-1;-12;44;-5;28;-1;-1;-5;-19;9;-8;-13;-5;96;-8;8;-14;54;-12;-19;22;-6;37
