,Receptor,Glomerulus,x,y
1,ab2B,DM5,53,169
2,ab3B,VM5d,450,178
3,ab4B,DA2,123,106
4,ab5B,DM3,890,80
5,Gr21a,V,1352,397
6,Or1a,,NA,NA
7,Or2a,DA4m,186,78
8,Or7a,DL5,943,100
9,Or9a,VM3,434,295
10,Or10a,DL1,1006,105
11,Or13a,DC2,529,171
12,Or19a,DC1,532,125
13,Or19b,DC1,NA,NA
14,Or22a,DM2,825,129
15,Or22b,DM2,NA,NA
16,Or22c,,NA,NA
17,Or23a,DA3,167,45
18,Or24a,,NA,NA
19,Or30a,,NA,NA
20,Or33a,DA2,NA,NA
21,Or33b,DM5+DM3,NA,NA
22,Or33c,VC1,NA,NA
23,Or35a,VC3,874,303
24,Or42a,VM7,844,214
25,Or42b,DM1,1262,126
26,Or43a,DA4l,187,118
27,Or43b,VM2,27,252
28,Or45a,,NA,NA
29,Or45b,,NA,NA
30,Or46a,VA7l,174,249
31,Or47a,DM3,NA,NA
32,Or47b,VA1lm,254,213
33,Or49a,DL4,NA,NA
34,Or49b,VA5,234,309
35,Or56a,DA2,NA,NA
36,Or59a,,NA,NA
37,Or59b,DM4,1240,184
38,Or59c,1(VM7),882,148
39,Or63a,,NA,NA
40,Or65a,DL3,611,23
41,Or65b,DL3,NA,NA
42,Or65c,DL3,NA,NA
43,Or67a,DM6,70,93
44,Or67b,VA3,152,320
45,Or67c,VC4,881,246
46,Or67d,DA1,671,79
47,Or69a,D,552,42
48,Or71a,VC2,548,279
49,Or74a,,NA,NA
50,Or82a,VA6,156,184
51,Or83a,,NA,NA
52,Or83b,,NA,NA
53,Or83c,DC3,607,169
54,Or85a,DM5,NA,NA
55,Or85b,VM5d,NA,NA
56,Or85c,,NA,NA
57,Or85d,VA4,543,334
58,Or85e,VC1,NA,NA
59,Or85f,DL4,597,58
60,Or88a,VA1d,265,125
61,Or92a,VA2,67,300
62,Or94a,,NA,NA
63,Or94b,,NA,NA
64,Or98a,VM5v,485,209
65,Or98b,VM5d,NA,NA
66,pb2A,VC1,922,267
67,,DC4,1290,208
68,,DL2d,1048,153
69,,DL2v,1020,190
70,,DP1l,1399,206
71,,DP1m,1343,160
72,,VA7m,130,275
73,,VL1,1400,342
74,,VL2a,1063,264
75,,VL2p,1458,277
76,,VM1,1220,334
77,,VM4,889,353
78,,VM6,1258,371
