Odorant,Benzaldehyde,Linalool,2-Methylphenol,Acetophenone,1-Octanol,1-Octen-3-ol,Isopentylacetate,6-Methyl-5-hepten-2-on,Butylacetate,E2 Hexenylacetate,Limonene,Acetaldehyde,Gammaoctalacton,Nonanoic acid,E3 Hexanol,Glycerol ,Acrolein,beta-Citrollenol,Linoleic acid,Ethylhexanoate,E2-Hexenal,(-)-trans-Caryophyllene,Methylsalicylat,E2 Hexenol,Terpinolen,Ethyl octanoate,Ethanol,Methylbutyrate,Ammonium hydroxide,2-Heptanone,Propionaldehyde,Valeraldehyde,Ethylbutyrate,(-) Ethyl L lactate,Methyloctanoate,Nerol,beta-Myrcene,p-Cymene,(1S)-(+)-3-carene,Ethylcrotonate,Heptanoic acid,Z3-Hexenol,Dimethyl sulfide,Isobutylacetat,1-Hexanol,Ethylacetate,2-Butanone,Ethyl-Decanoate,Geraniol,Methylhexanoate,Methylbenzoat,delta-Decalactone,Butyric acid,Pentylacetat,Lactic acid,Ethyl cinnamate,Methanol,Hexyl hexanoate,Octanoic acid,Methylacetat,Propylacetate,Acetic acid,Furfural,1-pentanol,Geranylacetat,Hexanal,3-Methyl-2-buten-1-ol,1-Butanol,2-pentanone,14-Diaminobutane,23-butanediole,Ethylhexanoic acid,Phenylacetaldehyd,Butanal,Alpha-Humulene,3-Methylbutanol,Cadaverine,Alpha-Pinene,Hexylacetat,Eugenol,Linalool oxide,Ethylformate,Gamma decalactone,Ethyl-3-hydroxybutyrate,gamma-Hexalactone,1-Penten-3-ol,Aceton,Pyruvic acid ,Hexylbutyrate,Phenylethyl alcohol,cis-2-Hexen-1-ol,Ethylpropionate,Diethylsuccinate,Benzyl alcohol,b-Pinene,2-Pentanol,Isobutyric acid,Ethylbenzoate,1-Propanol,Isopentanoic acid,3-Methylthiol-1-Propanol,Pentanoic acid,Phenylethylacetat,Alpha Terpineol,Propionic acid,2-3 Butanedione,Hexanoic acid,Methanoic acid,4-Ethylguaiacol,Butyrolacton
2a,5,17,-11,-3,1,27,65,46,51,22,3,21,7,-2,45,2,14,3,-7,22,17,2,5,35,-6,1,4,25,3,39,18,22,12,39,1,8,2,-2,-1,11,3,29,0,31,40,-3,8,5,-1,39,1,0,11,35,2,-4,10,1,-2,5,31,5,11,35,2,19,36,45,30,6,3,3,10,43,-1,30,1,-2,29,4,30,3,-1,53,15,34,1,3,4,2,34,21,16,-4,3,38,-2,1,33,4,8,7,11,2,1,6,8,-2,-1,9
7a,200,31,-27,10,-18,9,-33,-24,-19,204,4,165,-22,-10,154,-2,31,21,136,-13,221,4,-6,180,6,-7,33,-1,-21,-2,-16,171,1,31,-7,10,9,-1,4,-2,-6,150,-8,38,96,6,9,-12,1,40,-27,-15,42,-4,-2,-6,22,-4,-7,-6,-4,-11,176,166,1,177,196,195,2,-36,13,1,43,54,10,157,-41,20,-19,-10,-14,108,-12,-27,-39,124,-10,55,-4,3,151,85,-11,5,-11,78,8,-20,180,-4,29,22,-13,5,5,-15,3,-14,-10,34
9a,57,6,36,62,20,54,139,58,151,30,3,95,26,-6,198,8,3,6,3,20,38,3,13,110,-1,2,21,143,32,106,6,24,121,75,4,2,-1,-2,1,103,3,154,19,172,102,37,94,2,-1,53,43,-2,138,85,6,-2,25,-3,-2,24,161,9,93,160,-5,34,59,103,130,26,60,4,14,6,-2,97,21,-1,44,10,79,24,-1,204,118,209,29,22,2,17,88,58,21,30,-6,227,19,29,52,23,96,19,18,7,20,247,22,14,14,53
10a,123,-14,-17,254,-18,-6,208,8,128,-4,-5,25,18,2,13,-8,-7,-10,4,-14,-8,-6,258,-8,-7,-14,12,43,10,17,-1,6,29,31,-13,-12,-9,-8,-12,146,-1,-5,-16,212,10,6,7,43,-6,17,265,-11,33,-1,34,-7,5,-1,-1,9,67,18,34,11,-8,28,-5,-5,19,-26,22,5,64,-2,-9,-6,-17,-2,-19,64,1,3,-2,68,18,-7,0,23,-1,-16,-15,38,-13,-5,-12,17,29,268,-4,24,5,22,-12,-10,36,-5,19,31,2,-6
19a,-15,125,-16,5,92,149,81,69,31,37,92,19,2,-19,74,-21,-12,18,-30,42,58,21,1,79,51,-8,-12,-6,1,131,-52,-20,73,24,0,22,21,20,123,9,-19,84,-27,48,146,7,-16,-17,2,36,-12,-23,10,130,-4,-21,-16,-25,-26,-13,-1,3,-22,84,9,-29,58,49,-1,-9,35,-22,-30,-38,-7,78,-5,21,50,-16,91,-17,-22,30,-2,64,-25,-1,6,14,85,-13,24,-9,40,74,7,-6,10,21,-9,30,7,85,5,-19,30,0,-10,-7
22a,32,52,9,32,53,121,232,85,212,194,34,71,41,7,82,4,32,25,3,224,49,8,-2,87,19,95,55,220,13,111,36,69,193,70,237,37,19,18,11,210,12,81,13,251,63,53,84,6,28,256,43,11,117,158,36,12,55,31,0,54,198,32,29,179,1,139,101,120,148,12,48,19,44,53,9,104,13,33,172,7,25,13,16,138,140,58,38,35,39,46,111,188,205,40,10,113,34,49,58,41,38,45,40,63,37,50,117,33,7,43
23a,-5,3,-8,-6,1,19,21,28,29,4,-4,11,3,-4,40,-7,-6,-6,5,13,45,-5,-1,41,-3,-4,6,2,-2,25,-5,-5,15,11,-3,-3,-4,-6,-5,9,-2,36,-4,9,51,2,3,-1,-6,9,-6,-2,-3,20,-3,-1,-3,-4,2,2,12,-1,18,73,4,13,25,41,13,-2,15,-2,1,-6,-3,33,-7,-3,2,1,8,-5,-3,34,12,29,-7,-1,1,-2,55,-5,26,-5,-4,41,-3,-6,5,-4,-2,2,-4,-4,-3,-4,3,-8,-9,4
33b,-5,29,-16,-16,3,-17,6,-11,12,13,8,11,10,-2,29,15,6,8,-11,0,-8,14,-7,21,10,-4,36,19,-9,0,3,3,37,2,3,13,4,3,5,-4,-4,30,-6,15,1,10,7,1,15,-16,-12,15,-11,-12,-3,3,35,1,-13,15,13,-2,28,42,0,-10,41,39,10,-4,11,-15,7,0,-1,33,-7,13,11,-6,17,0,17,0,25,44,-10,-12,4,29,21,81,-8,34,10,45,-9,-3,27,-10,-7,-11,0,10,-9,36,22,-6,-3,7
35a,83,26,-12,10,222,141,22,-12,63,227,51,4,36,-8,213,-4,-9,11,38,-21,227,14,2,223,7,-12,34,102,4,119,-6,82,121,5,10,10,0,9,-4,14,11,204,-2,26,237,18,13,-10,9,-10,-14,-10,12,191,9,-10,38,126,-4,-6,102,-1,176,188,-3,185,176,199,112,0,13,-8,-17,65,3,222,12,28,206,-7,-5,-11,-3,87,171,37,8,5,225,120,202,1,-20,44,3,162,1,-16,55,5,188,36,-13,18,2,4,7,5,-3,81
43a,36,-6,77,37,-13,100,17,7,20,-17,-6,4,-5,-15,44,-18,-7,-13,-14,6,41,-25,20,32,-6,-12,-7,10,-1,42,-31,-13,22,7,-13,-7,-5,-8,9,-22,-11,98,-19,25,133,8,-8,-8,-16,3,-3,-16,-7,12,1,-19,-2,-14,-5,-12,12,0,-17,77,-10,-4,30,-1,12,-17,11,-25,-6,-11,-11,54,-10,6,-3,-14,18,-14,-18,35,8,58,-16,-1,-8,28,76,1,-8,52,10,96,-5,-26,-13,-12,4,-5,-12,1,-5,-11,5,-9,-5,-12
