features,ids,score
0,[],1.0
1,[6],11.401754251
2,"[6, 95]",18.7082869339
3,"[6, 95, 84]",30.0998338866
4,"[6, 95, 84, 7]",41.1217703899
5,"[6, 95, 84, 7, 93]",48.0728613669
6,"[6, 95, 84, 7, 93, 20]",55.0635995917
7,"[6, 95, 84, 7, 93, 20, 44]",59.2283715798
8,"[6, 95, 84, 7, 93, 20, 44, 49]",64.2884126418
9,"[6, 95, 84, 7, 93, 20, 44, 49, 62]",67.2086303982
10,"[6, 95, 84, 7, 93, 20, 44, 49, 62, 8]",73.0547739713
11,"[6, 95, 84, 7, 93, 20, 44, 49, 62, 8, 73]",76.3020314277
12,"[6, 95, 84, 7, 93, 20, 44, 49, 62, 8, 73, 91]",79.6931615636
13,"[6, 95, 84, 7, 93, 20, 44, 49, 62, 8, 73, 91, 89]",82.3711114408
14,"[6, 95, 84, 7, 93, 20, 44, 49, 62, 8, 73, 91, 89, 75]",87.2983390449
15,"[6, 95, 84, 7, 93, 20, 44, 49, 62, 8, 73, 91, 89, 75, 64]",90.0610903776
16,"[6, 95, 84, 7, 93, 20, 44, 49, 62, 8, 73, 91, 89, 75, 64, 33]",96.1041102139
17,"[6, 95, 84, 7, 93, 20, 44, 49, 62, 8, 73, 91, 89, 75, 64, 33, 78]",103.126136357
18,"[6, 95, 84, 7, 93, 20, 44, 49, 62, 8, 73, 91, 89, 75, 64, 33, 78, 63]",105.076162853
19,"[6, 95, 84, 7, 93, 20, 44, 49, 62, 8, 73, 91, 89, 75, 64, 33, 78, 63, 83]",107.396461767
20,"[6, 95, 84, 7, 93, 20, 44, 49, 62, 8, 73, 91, 89, 75, 64, 33, 78, 63, 83, 98]",109.626639098
21,"[6, 95, 84, 7, 93, 20, 44, 49, 62, 8, 73, 91, 89, 75, 64, 33, 78, 63, 83, 98, 68]",110.936919013
22,"[6, 95, 84, 7, 93, 20, 44, 49, 62, 8, 73, 91, 89, 75, 64, 33, 78, 63, 83, 98, 68, 60]",112.13830746
23,"[6, 95, 84, 7, 93, 20, 44, 49, 62, 8, 73, 91, 89, 75, 64, 33, 78, 63, 83, 98, 68, 60, 0]",115.342966842
24,"[6, 95, 84, 7, 93, 20, 44, 49, 62, 8, 73, 91, 89, 75, 64, 33, 78, 63, 83, 98, 68, 60, 0, 31]",117.613774703
