features,ids,score
0,"[41, 110]",1.0
1,"[6, 95]",11.401754251
2,"[44, 53, 83]",24.6576560119
3,"[7, 60, 63, 93]",40.0249921924
4,"[6, 33, 63, 83, 93]",53.4696175412
5,"[0, 6, 20, 44, 83, 91]",63.0713881249
6,"[3, 6, 20, 44, 73, 83, 91]",67.9190694871
7,"[0, 6, 33, 44, 63, 64, 83, 91]",73.6613874428
8,"[3, 6, 7, 33, 44, 63, 64, 73, 91]",80.4611707596
9,"[3, 6, 7, 33, 44, 63, 64, 68, 73, 91]",86.0813568666
10,"[3, 6, 7, 33, 44, 63, 64, 68, 73, 78, 91]",92.951600309
11,"[3, 6, 7, 20, 33, 43, 44, 63, 64, 73, 83, 91]",96.5815717412
12,"[3, 6, 7, 33, 44, 49, 63, 64, 73, 78, 80, 85, 91]",99.1816515289
13,"[3, 6, 7, 8, 33, 44, 49, 62, 63, 64, 73, 78, 91, 98]",102.659631794
14,"[3, 6, 7, 20, 33, 44, 49, 63, 64, 68, 73, 78, 91, 95, 98]",105.62670117
15,"[3, 6, 8, 9, 20, 33, 44, 49, 63, 64, 73, 78, 83, 91, 93, 98]",108.115678789
16,"[3, 6, 7, 20, 30, 33, 44, 49, 63, 64, 73, 78, 80, 83, 91, 95, 98]",110.810649308
17,"[3, 6, 7, 20, 31, 33, 43, 44, 49, 63, 64, 73, 78, 83, 90, 91, 95, 98]",113.666177907
18,"[3, 6, 7, 20, 27, 31, 33, 43, 44, 49, 63, 64, 73, 78, 83, 90, 91, 95, 98]",115.969823661
19,"[3, 6, 7, 20, 27, 30, 31, 33, 44, 49, 63, 64, 73, 78, 80, 83, 90, 91, 95, 98]",117.707264007
20,"[1, 3, 6, 7, 8, 20, 27, 30, 31, 33, 44, 49, 63, 64, 73, 78, 83, 90, 91, 93, 98]",119.021006549
21,"[3, 6, 7, 8, 20, 27, 30, 31, 33, 41, 44, 49, 63, 64, 73, 78, 80, 83, 90, 91, 92, 98]",120.838735511
22,"[2, 3, 6, 7, 8, 20, 27, 30, 31, 33, 41, 43, 49, 60, 63, 64, 68, 73, 78, 83, 90, 91, 98]",122.613212991
23,"[0, 3, 6, 7, 8, 20, 27, 30, 31, 33, 41, 43, 44, 49, 63, 64, 68, 73, 78, 80, 83, 90, 91, 98]",123.995967676
24,"[2, 3, 6, 7, 8, 9, 20, 27, 30, 31, 33, 41, 43, 49, 56, 60, 63, 64, 73, 78, 80, 83, 90, 91, 98]",125.411323253
