features,ids,score
0,[8],1.00000000012
1,"[44, 62]",10.8166538264
2,"[44, 49, 62]",23.8956062907
3,"[6, 33, 44, 63]",37.4966665185
4,"[6, 7, 44, 62, 83]",46.2276973253
5,"[0, 6, 20, 44, 83, 91]",63.0713881249
6,"[0, 6, 20, 44, 49, 83, 91]",66.7083203206
7,"[0, 6, 33, 44, 63, 64, 83, 91]",73.6613874428
8,"[0, 6, 33, 44, 49, 63, 64, 83, 91]",79.2401413426
9,"[0, 6, 33, 44, 63, 64, 73, 78, 83, 91]",84.4511693229
10,"[0, 6, 7, 33, 44, 63, 64, 73, 83, 91, 100]",90.3769882216
11,"[0, 6, 33, 44, 49, 62, 63, 64, 73, 78, 83, 91]",94.1700589359
12,"[0, 6, 8, 33, 44, 49, 62, 63, 64, 73, 78, 83, 91]",99.151399385
13,"[0, 6, 7, 30, 33, 44, 62, 63, 64, 73, 78, 83, 91, 98]",101.202766761
14,"[0, 6, 9, 33, 44, 49, 62, 63, 64, 73, 78, 83, 91, 98, 100]",103.421467791
15,"[0, 6, 7, 20, 33, 41, 43, 44, 49, 62, 63, 64, 73, 78, 83, 91]",105.569882069
16,"[0, 6, 7, 8, 20, 30, 33, 44, 62, 63, 64, 73, 78, 83, 91, 98, 100]",107.401117313
17,"[0, 6, 7, 20, 27, 33, 41, 44, 49, 50, 63, 64, 73, 78, 83, 91, 98, 100]",109.886304879
18,"[0, 6, 7, 20, 30, 33, 41, 43, 44, 49, 62, 63, 64, 73, 78, 83, 91, 98, 100]",111.901742614
19,"[0, 6, 7, 8, 20, 27, 31, 33, 41, 44, 49, 50, 62, 63, 64, 73, 78, 83, 91, 98]",115.052162083
20,"[0, 6, 7, 9, 20, 30, 31, 33, 41, 43, 44, 49, 50, 62, 63, 64, 73, 78, 83, 91, 98]",116.309930788
21,"[0, 6, 7, 20, 27, 30, 31, 33, 41, 43, 44, 49, 50, 62, 63, 64, 68, 73, 78, 83, 91, 98]",117.966096824
22,"[0, 6, 7, 8, 20, 27, 30, 31, 33, 41, 43, 44, 49, 50, 62, 63, 64, 73, 78, 83, 91, 98, 100]",119.344040488
23,"[0, 6, 7, 9, 20, 27, 30, 31, 33, 41, 43, 44, 49, 50, 62, 63, 64, 73, 78, 80, 83, 91, 98, 100]",121.136286884
24,"[0, 6, 7, 8, 9, 20, 27, 30, 31, 33, 41, 43, 44, 49, 50, 62, 63, 64, 68, 73, 78, 83, 91, 98, 100]",122.323342008
